deal_value,days_since_created,stage_encoded,num_interactions,days_until_expected_close,closure_score,is_closed
121011.13,9,1,5,136,5.0,0
24041.49,108,1,15,30,5.0,0
189162.0,42,3,6,122,16.2,0
57498.87,21,2,5,-25,26.2,0
203877.19,9,4,12,33,51.0,1
97495.66,108,0,21,30,5.0,0
53956.38,91,4,7,158,8.9,0
6707.92,61,4,13,173,22.4,1
21212.25,23,1,22,130,17.1,0
70257.63,42,0,1,-10,5.0,0
217181.14,20,4,3,30,39.0,1
4236.59,21,0,4,30,5.0,0
51429.02,85,1,14,30,5.0,0
74272.23,102,2,2,137,5.0,0
40201.34,89,4,5,30,20.3,0
7521.36,36,1,14,30,15.2,1
93448.36,50,0,0,120,5.0,0
53324.27,70,0,12,33,5.0,0
227991.42,20,0,3,-11,5.0,0
9216.06,50,4,15,30,42.0,0
192828.28,73,0,17,127,5.0,0
470079.26,95,2,0,111,5.0,0
13658.22,49,3,0,-4,20.7,1
11173.13,84,2,15,30,11.8,0
12084.1,107,0,17,49,5.0,0
49644.35,99,4,5,-1,20.4,0
39229.24,40,0,13,142,5.0,0
13034.02,63,3,8,30,21.1,0
72163.99,100,3,8,30,10.0,0
4192.54,53,3,0,30,16.1,0
17214.25,65,4,15,28,37.7,0
72587.05,105,3,23,109,15.6,0
22618.57,115,2,8,56,5.0,0
28255.52,32,2,18,43,29.1,0
195402.12,104,3,19,71,15.7,1
11660.14,118,1,20,62,5.0,0
20358.99,56,2,16,30,21.2,0
27143.97,20,2,5,13,22.7,0
6590.9,17,2,0,30,16.9,1
41404.38,105,2,7,-25,5.0,0
17967.21,83,4,16,-2,36.3,0
84230.09,97,0,16,103,5.0,0
74819.91,60,2,5,30,9.0,0
26093.91,102,1,13,85,5.0,0
4093.66,41,2,24,63,30.4,0
22965.25,2,0,10,160,5.0,0
51102.81,47,3,3,30,20.9,0
19352.7,115,4,24,143,20.2,0
45143.43,60,3,20,0,37.0,0
1314907.28,69,0,4,115,5.0,0
19144.31,71,2,1,30,5.0,0
404604.78,116,1,3,2,5.0,0
12115.39,1,0,9,30,10.7,0
52712.02,30,3,12,13,36.7,1
91270.81,76,1,17,8,8.4,0
43754.38,105,0,24,76,5.0,0
1926.2,22,2,12,69,23.5,0
104962.81,20,1,12,139,7.1,0
21918.04,91,3,12,92,10.5,0
33670.36,117,0,9,123,5.0,0
95648.01,5,2,5,30,25.5,0
103312.58,2,3,14,118,36.6,1
72407.62,77,3,7,97,9.2,0
64681.62,58,0,23,30,7.6,0
82966.6,97,4,10,30,22.9,0
49316.48,67,0,13,104,5.0,0
105456.76,113,4,10,70,14.1,0
2496.39,35,4,22,-14,57.9,1
10973.5,114,0,24,20,5.0,0
63347.57,33,1,18,-7,23.8,1
6786.98,42,4,13,152,30.2,0
120086.93,39,2,7,5,19.8,0
71848.92,36,0,6,30,5.0,0
50955.93,53,4,18,98,37.3,0
607936.39,25,2,3,151,5.4,0
71962.38,20,3,21,-19,51.9,1
123576.94,104,2,14,30,5.0,0
39347.31,110,3,15,112,5.8,0
85382.22,100,3,17,30,19.0,0
299806.91,61,2,4,165,5.0,0
23049.86,68,0,17,122,5.0,0
573341.7,91,3,12,30,16.7,1
30068.33,33,4,14,45,44.6,1
21443.4,91,1,13,92,5.0,0
53219.75,11,2,11,30,29.7,0
7326.38,64,4,16,89,32.9,1
8031.78,88,2,17,39,11.7,0
24512.38,96,4,23,30,36.2,0
108338.83,45,0,8,13,5.0,0
143589.55,118,4,17,43,22.3,1
31013.17,104,2,10,155,5.0,0
6415.84,4,0,4,143,5.0,0
31595.75,27,4,0,30,33.9,0
34545.69,15,3,22,170,35.5,0
62999.78,19,2,13,3,32.0,0
86082.59,28,2,9,30,22.6,0
124802.45,44,2,0,106,5.0,0
21028.87,13,1,12,30,20.1,0
85975.82,71,3,24,135,24.2,0
41721.79,99,1,8,21,5.0,0
6980.66,22,4,13,49,46.5,1
217580.48,47,0,15,70,5.0,0
17259.0,98,4,9,106,14.0,0
65554.73,88,2,0,164,5.0,0
129407.3,53,4,24,137,39.4,1
96396.88,68,3,22,6,36.0,0
19832.42,56,4,0,156,12.6,0
31645.79,13,1,23,30,31.1,0
24285.01,109,1,18,-1,5.0,0
32755.27,99,1,7,30,5.0,0
9750.41,58,3,14,177,13.9,0
805081.64,99,4,4,30,16.3,1
210847.03,13,4,3,173,26.8,0
12240.72,12,0,19,-9,21.3,1
23538.42,81,2,4,167,5.0,0
66764.24,59,2,22,30,26.3,0
13425.35,57,0,21,40,5.0,0
7412.41,69,1,15,39,5.4,0
7078.74,106,0,20,-1,5.0,0
82209.98,113,2,13,140,5.0,0
48447.66,88,3,13,172,5.0,0
22478.34,49,1,6,137,5.0,0
71852.95,91,3,1,30,5.7,0
32372.53,78,0,6,48,5.0,0
61740.26,114,1,10,4,5.0,0
83409.24,38,4,16,-2,49.8,1
16113.09,57,4,5,30,29.9,0
45019.63,107,1,22,77,5.0,0
7888.75,33,2,15,129,17.2,0
49866.47,68,0,3,93,5.0,0
162909.42,72,0,8,168,5.0,0
43784.5,81,4,21,-4,42.1,1
51937.52,17,1,7,92,7.7,0
321307.64,73,2,1,97,5.0,0
26560.41,113,0,20,140,5.0,0
322944.72,114,4,12,24,20.4,0
45034.54,13,3,22,65,46.6,1
21048.48,110,2,7,16,5.0,0
311010.93,115,4,16,-14,27.9,0
3755.07,93,4,16,30,30.1,0
327272.86,15,4,22,178,44.7,0
45779.83,70,1,1,0,5.0,0
11408.45,51,0,7,39,5.0,0
49454.07,71,3,13,30,23.7,0
29849.35,40,2,21,172,16.8,0
63532.47,118,3,15,151,5.0,0
92316.32,76,1,7,-2,5.0,0
39211.88,65,3,3,62,12.3,0
18758.77,119,0,10,6,5.0,0
24562.94,61,3,22,107,28.0,1
13643.77,97,1,7,41,5.0,0
100344.21,23,1,18,30,23.1,1
24610.39,72,1,13,123,5.0,0
34143.99,15,2,23,9,42.6,1
13537.83,13,1,7,30,15.1,0
53400.13,26,3,7,135,20.7,0
9109.27,110,0,2,-30,5.0,0
74354.29,4,1,22,40,31.8,0
45432.71,11,2,17,17,37.0,0
54508.73,82,0,4,-27,5.0,0
54719.56,54,4,0,-26,31.4,0
9255.44,102,3,14,7,17.7,0
53279.1,53,1,9,66,5.0,1
119034.54,119,4,8,-2,17.5,0
116140.86,86,0,18,30,5.0,0
13379.71,23,3,8,67,29.4,1
63257.43,48,3,22,129,29.7,0
70353.23,20,0,12,30,8.0,0
14569.26,100,2,24,124,6.6,0
45325.13,83,3,18,18,26.3,1
36881.77,98,3,8,113,5.0,0
77383.43,27,2,6,-21,25.0,0
14238.8,63,4,11,15,35.6,0
26046.09,84,1,15,122,5.0,1
117556.86,107,3,20,116,11.3,0
97438.91,48,4,11,93,32.3,1
78627.16,85,4,14,-22,35.7,0
30970.69,26,2,9,30,23.2,0
228552.64,32,2,21,90,27.4,0
16058.6,6,0,4,161,5.0,0
68051.96,16,4,12,97,42.5,0
28515.55,105,4,2,68,8.7,0
53453.66,89,3,15,21,21.2,0
23810.95,48,2,4,92,5.4,1
27747.92,4,3,10,40,39.8,0
105790.12,10,2,7,170,12.0,0
26850.4,104,3,24,125,15.3,0
3348.76,102,3,16,141,6.3,0
19990.03,108,2,9,117,5.0,0
17054.58,86,3,3,30,9.2,0
7050.51,98,1,2,80,5.0,0
103815.67,13,3,2,30,30.1,0
10428.04,32,2,23,-21,40.5,1
90836.56,2,4,15,47,54.7,1
450532.38,10,4,13,-14,56.4,1
32056.42,18,1,0,19,7.7,0
70221.58,116,3,23,131,10.1,0
162703.01,101,3,15,171,5.0,0
164319.57,101,2,12,30,5.0,0
43111.71,73,4,5,30,25.1,0
45094.17,103,0,21,62,5.0,0
30645.2,17,0,12,90,5.0,0
59450.44,81,1,4,68,5.0,1
10577.0,20,4,4,30,40.0,1
8841.37,54,3,14,8,32.0,0
52576.39,32,3,2,128,14.6,0
153474.4,28,1,7,39,9.7,0
21523.61,59,4,12,0,39.3,1
55419.74,43,3,8,109,19.2,0
124230.51,80,1,16,-15,8.5,1
34528.0,93,3,6,123,5.0,0
67601.15,103,0,21,125,5.0,0
148825.49,70,4,1,148,10.2,0
41372.03,60,3,9,63,19.7,1
48230.37,36,0,6,28,5.0,0
33898.98,85,2,12,30,8.5,0
180284.85,75,0,9,99,5.0,0
29670.45,73,1,10,-1,5.0,0
58150.68,78,1,23,3,14.3,0
199801.62,37,3,13,-9,37.8,1
411401.24,24,3,19,130,33.8,1
53071.67,95,2,23,-10,20.5,0
4214.75,60,3,6,14,21.6,0
13713.4,39,3,4,30,24.3,0
12936.0,27,0,10,179,5.0,1
171126.77,103,2,16,73,5.0,0
394572.77,54,1,9,135,5.0,0
238549.35,48,1,4,30,5.0,0
196768.14,11,1,1,38,8.9,0
99771.39,21,4,3,78,33.9,1
42241.04,31,4,12,171,30.6,0
82554.08,34,1,19,91,14.7,0
168872.42,112,2,4,6,5.0,0
413848.36,73,3,3,22,13.9,0
7769.73,48,4,19,172,32.4,0
51113.87,105,0,5,30,5.0,1
68945.14,97,3,10,22,13.7,0
221563.53,76,0,24,180,5.0,0
44399.47,87,0,1,78,5.0,0
169259.38,47,0,17,46,5.0,0
40112.34,117,2,16,15,5.0,0
126953.22,67,1,16,180,5.0,0
30678.68,96,0,2,177,5.0,1
5249.44,90,1,12,89,5.0,0
162579.8,45,1,3,54,5.0,0
31121.42,11,3,5,-11,37.8,0
69922.26,54,0,13,-7,5.0,0
70192.68,14,0,6,124,5.0,0
97931.86,62,0,4,74,5.0,0
140522.76,100,3,14,76,11.4,0
43125.15,93,1,20,106,5.0,0
153497.42,107,4,4,14,15.5,0
72750.41,17,0,6,134,5.0,0
15866.32,91,2,21,30,15.7,0
3408.64,4,2,11,62,28.6,0
87043.71,83,0,9,157,5.0,0
24145.3,104,1,6,-28,5.0,0
17913.12,39,0,23,91,7.2,0
387991.62,4,2,15,33,35.5,0
210572.49,105,3,10,46,8.9,0
75407.6,5,3,21,179,36.6,0
62758.4,94,2,9,-21,7.9,0
38109.57,85,1,17,48,5.0,0
66912.82,57,4,17,73,37.6,0
33076.74,80,1,3,52,5.0,0
64004.38,26,4,5,55,36.7,1
90200.83,84,4,2,72,14.6,0
22169.86,93,2,11,39,5.0,0
226755.45,106,2,22,30,12.2,0
318466.09,76,3,17,30,26.2,0
14121.42,23,4,16,133,40.8,1
79076.25,80,0,4,53,5.0,0
18960.99,85,1,9,-12,5.0,0
120454.26,53,4,21,64,43.7,1
15555.58,15,1,15,30,22.5,1
8189.33,13,4,16,152,41.9,0
184825.95,12,4,8,30,46.4,0
19877.44,27,3,17,67,37.2,0
103608.79,29,0,22,-30,21.3,1
151151.38,64,2,14,160,5.0,0
21849.89,69,3,4,48,13.5,1
24432.63,83,1,10,9,5.0,0
17673.0,9,2,14,66,29.7,0
121667.6,67,2,10,40,10.9,1
64569.63,7,4,11,45,49.4,1
223341.53,29,4,20,30,53.3,1
25352.13,118,1,10,5,5.0,0
19305.36,62,3,8,45,19.9,0
110963.12,54,1,1,97,5.0,0
37165.41,5,1,9,86,13.9,0
